rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2007-10,0.03473473432835821,0.02077966360856269,0.009435749235474005,-0.0004894244274809166,-0.009327118721461186,-0.0440618530498194,0,200710,1.8,-0.03,-3.05,-0.3,-0.09,0.32
2007-11,-0.04005055037593985,-0.06143085067873304,-0.07803478482972137,-0.09536321633888048,-0.13409691705069124,-0.09404636667475139,0,200711,-4.83,-3.01,-0.95,1.89,-0.29,0.34
2007-12,0.0036403128742514956,-0.010078821646341463,-0.010838962462462461,-0.0039435996908809895,-0.0359330700152207,-0.039573382889472195,0,200712,-0.87,0.15,-0.54,0.87,-1.04,0.27
2008-01,-0.06956038461538461,-0.06250851547987617,-0.06010236458333334,-0.059745591549295776,-0.05280960730593607,0.016750777309448538,0,200801,-6.36,-0.66,3.98,2.14,2.14,0.21
2008-02,-0.021313262079062957,-0.025071197852760737,-0.039254813069908814,-0.04836846687211094,-0.0376424650455927,-0.016329202966529746,0,200802,-3.09,-0.66,-0.84,0.88,-0.93,0.13
2008-03,0.0006549182389937107,-0.00801232398753894,-0.02416590749601276,-0.0209368375,-0.05141803205128205,-0.05207295029027576,0,200803,-0.93,0.56,0.3,0.79,0.5,0.17
2008-04,0.05768092294807371,0.05112799481865286,0.031234502504173617,0.03436882179930796,0.0014167623931623896,-0.056264160554911326,0,200804,4.6,-1.14,-1.04,1.63,-2.47,0.18
2008-05,0.04295925466893039,0.061465928196147115,0.041955456852791874,0.039986774526678134,0.026851741197183095,-0.016107513471747298,0,200805,1.86,3.06,-1.49,0.93,-0.06,0.18
2008-06,-0.06260750559999999,-0.08542313344051447,-0.09530870813397128,-0.11455589268292683,-0.13891390967741934,-0.07630640407741936,0,200806,-8.44,1.15,-2.67,4.96,-0.55,0.17
2008-07,0.01656569036334913,0.014107357827476035,0.021529007949125597,0.032819578947368415,0.012856532695374796,-0.003709157667974333,0,200807,-0.77,3.72,5.42,-1.37,1.08,0.15
2008-08,0.027565067823343847,0.032995330683624806,0.03227920476190477,0.033278141732283474,0.041744504,0.014179436176656155,0,200808,1.53,3.46,1.59,1.86,0.84,0.13
2008-09,-0.08464996734059098,-0.09275537380191694,-0.09420384152139463,-0.10307757004830917,-0.15455303328050712,-0.06990306593991615,0,200809,-9.24,0.25,5.92,2.41,1.78,0.15
2008-10,-0.16260579106858053,-0.20921563216560515,-0.2303422528,-0.26111480546623794,-0.272484086038961,-0.10987829497038049,0,200810,-17.23,-3.34,-2.3,3.04,2.05,0.08
2008-11,-0.06422455401234568,-0.10114042904841403,-0.13670773205741626,-0.18343019968051116,-0.22233345528455284,-0.15810890127220717,0,200811,-7.86,-3.89,-6.31,4.53,2.74,0.03
2008-12,0.03177403852327448,0.062329565008025674,0.07143842332268371,0.05201896794871795,0.04405629079159936,0.012282252268324884,0,200812,1.74,3.29,0.15,0.06,-1.49,0.0
2009-01,-0.07646629534510434,-0.08550047231270358,-0.07834983198707593,-0.08659666343042072,0.005176444983818769,0.0816427403289231,0,200901,-8.12,-2.13,-11.29,0.18,-1.16,0.0
2009-02,-0.09360315772870663,-0.1011605325542571,-0.12288577938808375,-0.14271651791530943,-0.15702861400651466,-0.06342545627780803,0,200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01
2009-03,0.09176083898305086,0.09267304898648647,0.11924510896309316,0.11623899153976314,0.22653425129982668,0.1347734123167758,0,200903,8.95,0.68,3.48,-2.52,-2.24,0.02
2009-04,0.11697310688405796,0.1637282338858195,0.2326084640883978,0.2736398786764706,0.39684628597785976,0.2798731790938018,0,200904,10.18,7.13,5.36,1.31,0.13,0.01
2009-05,0.022527469724770644,0.053742730841121494,0.09143199810964082,0.10264891635687731,0.15031427954971857,0.12778680982494792,0,200905,5.21,-2.32,0.27,-0.78,-2.16,0.0
2009-06,0.010350340170940171,0.030760015463917528,0.033189358620689655,0.035791710120068605,0.04078853251318102,0.03043819234224085,0,200906,0.43,2.29,-2.73,-1.41,-0.33,0.01
